tenure,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,Contract,InternetService,PaymentMethod,PaperlessBilling,Churn
51,70.01946077238856,3566.7637215244154,0,0,1,Month-to-month,DSL,Mailed check,1,0
14,74.57420260709014,1021.0457894498525,0,0,0,Two year,DSL,Bank transfer (automatic),1,0
71,19.531058662690544,1360.841555033426,0,0,0,Month-to-month,Fiber optic,Electronic check,0,1
60,96.057272582094,5738.427553467643,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),0,1
20,54.16073184253895,1033.7801509084327,0,0,1,Month-to-month,DSL,Electronic check,1,0
23,58.641854100213784,1307.0724136855517,0,1,1,One year,Fiber optic,Bank transfer (automatic),0,0
2,98.93695444369457,149.27822490087124,0,1,0,Month-to-month,No,Electronic check,1,1
21,55.928339172754455,1203.1656473226053,0,1,0,One year,DSL,Mailed check,1,0
52,22.722487649475482,1196.8744862956257,0,1,1,One year,No,Mailed check,0,0
1,35.64397704703503,37.000669456126886,0,1,0,Month-to-month,DSL,Electronic check,0,0
29,113.59031723881823,3391.2324604687246,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
37,25.040536240251416,880.2150753920811,0,0,0,Two year,No,Mailed check,0,0
1,53.493120096801626,109.43196085946644,0,0,0,One year,Fiber optic,Bank transfer (automatic),0,0
63,68.31791670513445,4291.027243699082,0,1,0,Month-to-month,DSL,Credit card (automatic),1,0
59,67.32808273385601,3980.2151155445176,1,1,0,Month-to-month,No,Electronic check,1,0
20,18.395994301214277,401.4766975973247,0,0,0,Month-to-month,DSL,Bank transfer (automatic),1,0
32,68.11627314574903,2155.8439137793716,0,0,0,Month-to-month,Fiber optic,Electronic check,0,1
57,56.37724579774092,3160.6681185625516,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),1,0
21,115.20793354745571,2374.7778129453195,0,0,0,Month-to-month,Fiber optic,Mailed check,1,0
48,33.915908399382985,1522.649412318705,0,1,0,Two year,Fiber optic,Mailed check,1,1
58,53.4154196759495,3128.4341490711354,0,0,0,Month-to-month,Fiber optic,Mailed check,0,1
41,59.94814850898197,2487.011070201267,0,1,0,Two year,DSL,Mailed check,1,0
59,57.06935371009488,3446.274396700217,1,1,0,One year,Fiber optic,Bank transfer (automatic),1,0
14,84.58308276518625,1204.909604166043,0,0,0,Month-to-month,DSL,Bank transfer (automatic),0,0
61,39.551285754776885,2445.389668412708,0,0,0,One year,DSL,Credit card (automatic),1,0
61,40.10715528139919,2442.4591543718825,0,1,0,Month-to-month,Fiber optic,Credit card (automatic),0,0
46,90.92109485008531,4205.614324144726,0,1,0,One year,Fiber optic,Credit card (automatic),0,0
61,68.02905186781797,4204.251810619892,0,1,0,Month-to-month,DSL,Electronic check,1,1
50,59.51556760573104,2984.851991129484,0,1,0,Month-to-month,Fiber optic,Mailed check,1,1
54,34.92030516772518,1859.6349011652223,0,0,0,One year,Fiber optic,Mailed check,1,0
63,36.75272229121666,2304.410192618573,1,0,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
2,19.055163681590056,75.70350752485521,0,0,1,Month-to-month,Fiber optic,Credit card (automatic),1,1
50,27.142626886170923,1332.5681739947547,0,0,1,Month-to-month,No,Bank transfer (automatic),1,1
6,73.6838694690241,486.5565331227022,0,0,1,Month-to-month,Fiber optic,Mailed check,1,1
20,107.18731300084099,2239.1761536013546,0,1,0,Two year,No,Mailed check,1,0
38,46.716476513055746,1820.2992142377086,0,1,0,Month-to-month,DSL,Mailed check,1,0
17,50.774722589612814,900.5270791838551,0,0,1,Month-to-month,Fiber optic,Bank transfer (automatic),1,1
3,29.56056106115122,106.06329623632888,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),1,1
59,56.86309456071027,3316.079104902797,0,1,0,Month-to-month,Fiber optic,Bank transfer (automatic),0,0
13,21.722170456932915,239.0091176383073,0,1,0,One year,No,Credit card (automatic),1,0
8,109.76006962619002,834.1994375020456,1,0,1,Month-to-month,DSL,Credit card (automatic),1,1
52,85.31113481245286,4463.915613689976,0,0,0,One year,Fiber optic,Credit card (automatic),0,0
1,117.07488093932189,97.60173657496837,0,1,0,Month-to-month,DSL,Credit card (automatic),0,1
59,106.28231626784937,6269.207040207178,1,0,0,Month-to-month,Fiber optic,Mailed check,0,1
70,65.29905936981527,4591.866977419712,0,0,0,One year,No,Bank transfer (automatic),0,0
43,69.96850311503769,2966.6245695336925,1,1,1,One year,Fiber optic,Mailed check,1,0
7,37.05760465171939,234.30704258063608,0,1,0,Month-to-month,Fiber optic,Electronic check,1,0
46,64.20393428395556,2969.525117143418,1,1,0,Month-to-month,Fiber optic,Mailed check,0,0
34,108.30278734928116,3667.7520764200926,0,0,0,Month-to-month,DSL,Credit card (automatic),0,0
35,23.085342363582114,798.1144311474942,1,1,1,Month-to-month,DSL,Credit card (automatic),0,0
49,104.35568029983098,5061.795583876882,0,0,1,Month-to-month,Fiber optic,Credit card (automatic),0,1
3,52.094780164260975,147.08876462534624,0,1,1,One year,Fiber optic,Mailed check,1,0
1,107.95127650963099,190.55977540302345,0,0,1,One year,Fiber optic,Credit card (automatic),0,0
5,112.08799063414847,538.122327910695,0,0,0,Two year,DSL,Electronic check,1,0
53,85.0864887001906,4452.233360357897,0,1,1,One year,Fiber optic,Mailed check,0,0
3,84.44237865926779,301.2339438583736,0,0,0,One year,No,Mailed check,1,0
53,63.27543377087401,3379.7657364484035,0,0,1,One year,DSL,Electronic check,1,0
62,101.55402245437075,6306.980314296868,0,1,0,Two year,Fiber optic,Mailed check,1,0
17,114.16127584332833,1874.8095910449567,0,0,0,Month-to-month,Fiber optic,Credit card (automatic),0,1
43,95.50818003391193,4048.0210572983096,0,1,0,Month-to-month,No,Credit card (automatic),0,1
33,80.19367337567093,2569.5252789072897,0,0,0,Month-to-month,Fiber optic,Electronic check,1,1
61,78.67928958213368,4821.0132395676765,0,1,0,Month-to-month,Fiber optic,Electronic check,1,0
13,102.94699015836623,1389.3043184838477,1,1,0,Month-to-month,Fiber optic,Mailed check,0,1
47,72.12037657712983,3412.9210794637097,0,0,0,Month-to-month,DSL,Mailed check,0,1
14,98.38598862488226,1474.898960634185,0,1,1,Month-to-month,Fiber optic,Mailed check,0,0
71,68.88852551742457,4868.990128578874,0,1,1,Two year,Fiber optic,Credit card (automatic),0,0
61,24.244427497392415,1462.7266052741954,0,0,1,Two year,Fiber optic,Electronic check,1,0
39,56.39470089041552,2204.7214292959493,0,1,1,One year,DSL,Credit card (automatic),1,0
52,62.444095767149875,3235.618059104628,0,1,0,Month-to-month,DSL,Electronic check,1,0
23,32.16172449866172,764.6552089617101,0,1,0,Two year,DSL,Bank transfer (automatic),0,0
25,28.24963291892128,674.2597760260959,1,1,0,Two year,Fiber optic,Electronic check,1,0
59,71.54649496569542,4151.5069857289045,0,0,1,Two year,No,Bank transfer (automatic),0,0
40,26.514363655608214,971.1075172747493,0,1,1,One year,DSL,Electronic check,1,0
28,48.2945167890084,1376.2721012805036,0,1,1,Month-to-month,DSL,Credit card (automatic),1,0
14,92.45969759630759,1268.1402103178332,0,1,1,Month-to-month,No,Mailed check,1,1
44,114.44321795679808,4977.0245410765565,0,0,0,Two year,Fiber optic,Mailed check,1,0
64,89.78705805519286,5715.418762032382,0,0,0,Month-to-month,No,Mailed check,0,1
